word,syllables,actual_count,cmu_counts,category,phonetic,decision,reviewed_syllables,reason
beautifully,beau-ti-ful-ly,4,3,other,/ˈbjuːtəfli/,accepted_standard_difference,beau-ti-ful-ly,orthographic spelling split has more parts than CMU pronunciation
beloved,beloved,1,2/3,other,/bɪˈlʌvd/,needs_human_source,beloved,no high-confidence automatic boundary rule
biochemist,bioc-he-mist,3,4,other,/ˌbaɪoʊˈkɛməst/,needs_human_source,bioc-he-mist,no high-confidence automatic boundary rule
biochemistry,bioc-he-mis-try,4,5,other,/ˌbaɪoʊˈkɛməstɹi/,needs_human_source,bioc-he-mis-try,no high-confidence automatic boundary rule
biologically,bi-o-log-i-cal-ly,6,5,adverb_ically_ally,/baɪəˈlɑdʒɪkli/,accepted_standard_difference,bi-o-log-i-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
biotechnology,bio-tec-hno-lo-gy,5,6,other,/ˌbaɪoʊˌtɛkˈnɑlədʒi/,needs_human_source,bio-tec-hno-lo-gy,no high-confidence automatic boundary rule
blvd,blvd,1,3,other,/ˈbʊləˌvɑɹd/,needs_human_source,blvd,no high-confidence automatic boundary rule
bmw,bmw,1,5,other,/ˈbiːˌɛmˈdʌbəlju/,needs_human_source,bmw,no high-confidence automatic boundary rule
bohemian,bo-hemi-an,3,4,vowel_sequence_suffix,/boʊˈhiːmiən/,needs_human_source,bo-hemi-an,no high-confidence automatic boundary rule
boolean,bool-ean,2,3,other,/buˈliːən/,needs_human_source,bool-ean,no high-confidence automatic boundary rule
bracelet,bracelet,1,2,other,/ˈbɹeɪslət/,needs_human_source,bracelet,no high-confidence automatic boundary rule
bracelets,bracelets,1,2,other,/ˈbɹeɪslɪts/,needs_human_source,bracelets,no high-confidence automatic boundary rule
brochures,brochures,1,2,other,/bɹoʊˈʃʊɹz/,needs_human_source,brochures,no high-confidence automatic boundary rule
bryan,bryan,1,2,other,/ˈbɹaɪən/,needs_human_source,bryan,no high-confidence automatic boundary rule
bryant,bryant,1,2,other,/ˈbɹaɪənt/,needs_human_source,bryant,no high-confidence automatic boundary rule
buddhism,bud-dhism,2,3,suffix_ism,/ˈbuːdɪzəm/,needs_human_source,bud-dhism,-ism boundary needs dictionary-specific policy
bulgaria,bul-gar-ia,3,4,vowel_sequence_suffix,/bəlˈɡɛɹiə/,needs_human_source,bul-gar-ia,no high-confidence automatic boundary rule
burial,buri-al,2,3,other,/ˈbɛɹiəl/,needs_human_source,buri-al,no high-confidence automatic boundary rule
californian,cal-i-for-ni-an,5,4,vowel_sequence_suffix,/ˌkælɪˈfɔɹnjən/,accepted_standard_difference,cal-i-for-ni-an,orthographic spelling split has more parts than CMU pronunciation
canadian,cana-di-an,3,4,vowel_sequence_suffix,/kəˈneɪdiən/,needs_human_source,cana-di-an,no high-confidence automatic boundary rule
cannibalism,can-ni-bal-ism,4,5,suffix_ism,/ˈkænəbəˌlɪzəm/,needs_human_source,can-ni-bal-ism,-ism boundary needs dictionary-specific policy
capitalism,cap-i-tal-ism,4,5,suffix_ism,/ˈkæpɪtəˌlɪzəm/,needs_human_source,cap-i-tal-ism,-ism boundary needs dictionary-specific policy
cataclysm,cat-a-clysm,3,4,other,/ˈkætəˌklɪsəm/,needs_human_source,cat-a-clysm,no high-confidence automatic boundary rule
catechism,cat-e-chism,3,4,suffix_ism,/ˈkætəˌkɪzəm/,needs_human_source,cat-e-chism,-ism boundary needs dictionary-specific policy
categorically,cat-e-gor-i-cal-ly,6,5,adverb_ically_ally,/ˌkatɪɡˈɒɹɪklɪ/,accepted_standard_difference,cat-e-gor-i-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
catholic,catholic,1,2,other,/ˈkæθlɪk/,needs_human_source,catholic,no high-confidence automatic boundary rule
catholicism,cat-ho-li-cism,4,5,suffix_ism,/kəˈθɔləˌsɪzəm/,needs_human_source,cat-ho-li-cism,-ism boundary needs dictionary-specific policy
cds,cds,1,2,other,/ˌsiːˈdiːz/,needs_human_source,cds,no high-confidence automatic boundary rule
celsius,cel-sius,2,3,other,/ˈsɛlsiəs/,needs_human_source,cel-sius,no high-confidence automatic boundary rule
cenozoic,ce-no-zoic,3,4,other,/ˌsiːnəˈzoʊɪk/,needs_human_source,ce-no-zoic,no high-confidence automatic boundary rule
certificates,cer-tifi-cates,3,4,other,/sɚˈtɪfɪkəts/,needs_human_source,cer-tifi-cates,no high-confidence automatic boundary rule
championship,cham-pi-onship,3,4,other,/ˈtʃæmpiənˌʃɪp/,needs_human_source,cham-pi-onship,no high-confidence automatic boundary rule
championships,cham-pi-onships,3,4,other,/ˈtʃæmpiənˌʃɪps/,needs_human_source,cham-pi-onships,no high-confidence automatic boundary rule
chaos,chaos,1,2,other,/ˈkeɪɑs/,needs_human_source,chaos,no high-confidence automatic boundary rule
chaotic,chaot-ic,2,3,other,/keɪˈɑtɪk/,needs_human_source,chaot-ic,no high-confidence automatic boundary rule
chasm,chasm,1,2,other,/ˈkæzəm/,needs_human_source,chasm,no high-confidence automatic boundary rule
chauvinism,chau-vin-ism,3,4,suffix_ism,/ˈʃoʊvəˌnɪzəm/,needs_human_source,chau-vin-ism,-ism boundary needs dictionary-specific policy
chemically,chem-i-cal-ly,4,3,adverb_ically_ally,/ˈkɛməkli/,accepted_standard_difference,chem-i-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
choir,choir,1,2,other,/ˈkwaɪɚ/,needs_human_source,choir,no high-confidence automatic boundary rule
choreograph,chore-o-graph,3,4,other,/ˈkɔɹiəˌɡɹæf/,needs_human_source,chore-o-graph,no high-confidence automatic boundary rule
choreographer,chore-og-ra-pher,4,5,other,/ˌkɔɹiˈɑɡɹəfɚ/,needs_human_source,chore-og-ra-pher,no high-confidence automatic boundary rule
choreography,chore-og-ra-phy,4,5,other,/ˌkɔɹiˈɑɡɹəfi/,needs_human_source,chore-og-ra-phy,no high-confidence automatic boundary rule
circumference,cir-cum-fer-ence,4,3,other,/ˌsɝˈkʌmfɹəns/,accepted_standard_difference,cir-cum-fer-ence,orthographic spelling split has more parts than CMU pronunciation
classicism,clas-si-cism,3,4,suffix_ism,/ˈklæsɪˌsɪzəm/,needs_human_source,clas-si-cism,-ism boundary needs dictionary-specific policy
cnet,cnet,1,2,other,/ˈsiːˌnɛt/,needs_human_source,cnet,no high-confidence automatic boundary rule
colonel,colonel,1,2,other,/ˈkɝnəl/,needs_human_source,colonel,no high-confidence automatic boundary rule
colorfully,col-or-ful-ly,4,3,other,/ˈkʌlɚfli/,accepted_standard_difference,col-or-ful-ly,orthographic spelling split has more parts than CMU pronunciation
colosseum,colos-se-um,3,4,other,/ˌkɑləˈsiːəm/,needs_human_source,colos-se-um,no high-confidence automatic boundary rule
communism,com-mu-nism,3,4,suffix_ism,/ˈkɑmjəˌnɪzəm/,needs_human_source,com-mu-nism,-ism boundary needs dictionary-specific policy
compendium,com-pen-dium,3,4,vowel_sequence_suffix,/kəmˈpɛndiəm/,needs_human_source,com-pen-dium,no high-confidence automatic boundary rule
conferencing,con-fer-enc-ing,4,3,other,/ˈkɑnfɹənsɪŋ/,accepted_standard_difference,con-fer-enc-ing,orthographic spelling split has more parts than CMU pronunciation
conservatism,con-ser-va-tism,4,5,suffix_ism,/kənˈsɝvəˌtɪzəm/,needs_human_source,con-ser-va-tism,-ism boundary needs dictionary-specific policy
constituency,cons-ti-tuen-cy,4,5,other,/kənˈstɪtʃuənsi/,needs_human_source,cons-ti-tuen-cy,no high-confidence automatic boundary rule
constituent,cons-ti-tuent,3,4,other,/kənˈstɪtʃuənt/,needs_human_source,cons-ti-tuent,no high-confidence automatic boundary rule
contemptuously,con-temp-tu-ous-ly,5,4,other,/kənˈtɛmptʃwəsli/,accepted_standard_difference,con-temp-tu-ous-ly,orthographic spelling split has more parts than CMU pronunciation
continuity,con-ti-nu-ity,4,5,suffix_ity_ety,/ˌkɑntəˈnuːəti/,needs_human_source,con-ti-nu-ity,no high-confidence automatic boundary rule
copying,copy-ing,2,3,other,/ˈkɑpiɪŋ/,needs_human_source,copy-ing,no high-confidence automatic boundary rule
courier,couri-er,2,3,other,/ˈkɝiɚ/,needs_human_source,couri-er,no high-confidence automatic boundary rule
creativity,cre-ativ-i-ty,4,5,suffix_ity_ety,/ˌkɹiːeɪˈtɪvəti/,needs_human_source,cre-ativ-i-ty,no high-confidence automatic boundary rule
creator,cre-ator,2,3,other,/kɹiˈeɪtɚ/,needs_human_source,cre-ator,no high-confidence automatic boundary rule
criticism,crit-i-cism,3,4,suffix_ism,/ˈkɹɪtɪˌsɪzəm/,needs_human_source,crit-i-cism,-ism boundary needs dictionary-specific policy
croatia,croat-ia,2,3,vowel_sequence_suffix,/kɹoʊˈeɪʃə/,needs_human_source,croat-ia,no high-confidence automatic boundary rule
cronyism,crony-ism,2,4,suffix_ism,/ˈkɹoʊniˌɪzəm/,needs_human_source,crony-ism,-ism boundary needs dictionary-specific policy
cubism,cu-bism,2,3,suffix_ism,/ˈkjuːbɪzəm/,needs_human_source,cu-bism,-ism boundary needs dictionary-specific policy
cuneiform,cu-nei-form,3,4,other,/ˈkjuːniəˌfɔɹm/,needs_human_source,cu-nei-form,no high-confidence automatic boundary rule
cyan,cyan,1,2,other,/saɪˈæn/,needs_human_source,cyan,no high-confidence automatic boundary rule
cynicism,cyn-i-cism,3,4,suffix_ism,/ˈsɪnɪˌsɪzəm/,needs_human_source,cyn-i-cism,-ism boundary needs dictionary-specific policy
darwinism,dar-win-ism,3,4,suffix_ism,/ˈdɑɹwɪˌnɪzəm/,needs_human_source,dar-win-ism,-ism boundary needs dictionary-specific policy
decades,decades,1,2,other,/ˈdekeɪdz/,needs_human_source,decades,no high-confidence automatic boundary rule
decorative,dec-o-ra-tive,4,3,other,/ˈdɛkɹətɪv/,accepted_standard_difference,dec-o-ra-tive,orthographic spelling split has more parts than CMU pronunciation
definitively,de-fi-ni-ti-ve-ly,6,5,other,/dɪˈfɪnɪtɪvli/,accepted_standard_difference,de-fi-ni-ti-ve-ly,orthographic spelling split has more parts than CMU pronunciation
deify,de-ify,2,3,other,/ˈdiːəˌfaɪ/,needs_human_source,de-ify,no high-confidence automatic boundary rule
deist,deist,1,2,other,/ˈdiːɪst/,needs_human_source,deist,no high-confidence automatic boundary rule
deity,de-ity,2,3,suffix_ity_ety,/ˈdiːəti/,needs_human_source,de-ity,no high-confidence automatic boundary rule
delirium,delir-i-um,3,4,vowel_sequence_suffix,/dɪˈlɪɹiəm/,needs_human_source,delir-i-um,no high-confidence automatic boundary rule
demographically,de-mo-graph-i-cal-ly,6,5,adverb_ically_ally,/ˌdɛməˈɡɹæfɪkli/,accepted_standard_difference,de-mo-graph-i-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
demonstrates,demon-strates,2,3,other,/ˈdɛmənˌstɹeɪts/,needs_human_source,demon-strates,no high-confidence automatic boundary rule
despotism,des-po-tism,3,4,suffix_ism,/ˈdɛspəˌtɪzəm/,needs_human_source,des-po-tism,-ism boundary needs dictionary-specific policy
devour,de-vour,2,3,other,/dɪˈvaʊɚ/,needs_human_source,de-vour,no high-confidence automatic boundary rule
diabetes,di-a-betes,3,4,other,/ˌdaɪəˈbiːtiz/,needs_human_source,di-a-betes,no high-confidence automatic boundary rule
dialect,di-alect,2,3,other,/ˈdaɪəˌlɛkt/,needs_human_source,di-alect,no high-confidence automatic boundary rule
dialectical,di-alec-ti-cal,4,5,other,/ˌdaɪəˈlɛktɪkəl/,needs_human_source,di-alec-ti-cal,no high-confidence automatic boundary rule
diamond,di-a-mond,3,2,other,/ˈdaɪmənd/,accepted_standard_difference,di-a-mond,orthographic spelling split has more parts than CMU pronunciation
diamonds,di-a-monds,3,2,other,/ˈdaɪməndz/,accepted_standard_difference,di-a-monds,orthographic spelling split has more parts than CMU pronunciation
diana,di-ana,2,3,other,/daɪˈænə/,needs_human_source,di-ana,no high-confidence automatic boundary rule
diaphanous,diap-ha-nous,3,4,other,/daɪˈæfənɪs/,needs_human_source,diap-ha-nous,no high-confidence automatic boundary rule
diatomic,di-atom-ic,3,4,other,/ˌdaɪəˈtɑmɪk/,needs_human_source,di-atom-ic,no high-confidence automatic boundary rule
discontinuity,dis-con-ti-nu-ity,5,6,suffix_ity_ety,/dɪˌskɑntɪˈnuːɪti/,needs_human_source,dis-con-ti-nu-ity,no high-confidence automatic boundary rule
disheveled,di-sheveled,2,3,other,/dɪˈʃɛvəld/,needs_human_source,di-sheveled,no high-confidence automatic boundary rule
disinterested,dis-in-ter-est-ed,5,4,other,/ˌdɪsˈɪntɹɛstɪd/,accepted_standard_difference,dis-in-ter-est-ed,orthographic spelling split has more parts than CMU pronunciation
disobedient,dis-obe-di-ent,4,5,other,/dɪsəʊbˈiːdɪənt/,needs_human_source,dis-obe-di-ent,no high-confidence automatic boundary rule
disorient,dis-ori-ent,3,4,other,/dɪˈsɔɹiˌɛnt/,needs_human_source,dis-ori-ent,no high-confidence automatic boundary rule
docile,docile,1,2,other,/ˈdɑsəl/,needs_human_source,docile,no high-confidence automatic boundary rule
domestically,do-mes-ti-cal-ly,5,4,adverb_ically_ally,/dəˈmɛstɪkli/,accepted_standard_difference,do-mes-ti-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
drastically,dras-ti-cal-ly,4,3,adverb_ically_ally,/ˈdɹæstɪkli/,accepted_standard_difference,dras-ti-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
drawer,draw-er,2,1,other,/ˈdɹɔɹ/,accepted_standard_difference,draw-er,orthographic spelling split has more parts than CMU pronunciation
duet,duet,1,2,other,/djuːˈɛt/,needs_human_source,duet,no high-confidence automatic boundary rule
duo,duo,1,2,other,/ˈduːoʊ/,needs_human_source,duo,no high-confidence automatic boundary rule
dvds,dvds,1,3,other,/ˌdiːˌviːˈdiːz/,needs_human_source,dvds,no high-confidence automatic boundary rule
dwarfism,dwar-fism,2,3,suffix_ism,/ˈdwɔɹfɪzəm/,needs_human_source,dwar-fism,-ism boundary needs dictionary-specific policy
dynamically,dy-nam-i-cal-ly,5,4,adverb_ically_ally,/daɪˈnæmɪˌkliː/,accepted_standard_difference,dy-nam-i-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
easygoing,easy-go-ing,3,4,other,/ˈiːziˈɡoʊɪŋ/,needs_human_source,easy-go-ing,no high-confidence automatic boundary rule
economically,e-co-nom-i-cal-ly,6,5,adverb_ically_ally,/iːkəˈnɔmɪkəlɪ/,accepted_standard_difference,e-co-nom-i-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
ecstatically,ec-stat-i-cal-ly,5,4,adverb_ically_ally,/ɛkˈstætɪkli/,accepted_standard_difference,ec-stat-i-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
edinburgh,ed-in-burgh,3,4,other,/ˈɛdənbɚoʊ/,needs_human_source,ed-in-burgh,no high-confidence automatic boundary rule
egoism,e-go-ism,3,4,suffix_ism,/ˈiːɡoʊˌɪzəm/,needs_human_source,e-go-ism,-ism boundary needs dictionary-specific policy
egotism,e-go-tism,3,4,suffix_ism,/ˈiːɡəˌtɪzəm/,needs_human_source,e-go-tism,-ism boundary needs dictionary-specific policy
elaborately,e-lab-o-rate-ly,5,4,other,/ɪˈlæbɹətli/,accepted_standard_difference,e-lab-o-rate-ly,orthographic spelling split has more parts than CMU pronunciation
elysium,ely-si-um,3,4,vowel_sequence_suffix,/ɪˈlɪziəm/,needs_human_source,ely-si-um,no high-confidence automatic boundary rule
emaciated,ema-ci-at-ed,4,5,other,/ɪˈmeɪʃiˌeɪtɪd/,needs_human_source,ema-ci-at-ed,no high-confidence automatic boundary rule
embolism,em-bo-lism,3,4,suffix_ism,/ˈɛmboʊˌlɪzəm/,needs_human_source,em-bo-lism,-ism boundary needs dictionary-specific policy
embryo,em-bryo,2,3,other,/ˈɛmbɹiˌoʊ/,needs_human_source,em-bryo,no high-confidence automatic boundary rule
emirates,emi-rates,2,3,other,/əˈmɪrets/,needs_human_source,emi-rates,no high-confidence automatic boundary rule
emotionally,e-mo-tion-al-ly,5,4,adverb_ically_ally,/ɪmˈəʊʃənəlɪ/,accepted_standard_difference,e-mo-tion-al-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
empiricism,em-pi-ri-cism,4,5,suffix_ism,/ɛmˈpɪɹəˌsɪzəm/,needs_human_source,em-pi-ri-cism,-ism boundary needs dictionary-specific policy
emulsifier,emul-si-fi-er,4,5,other,/ɪˈmʌlsəˌfaɪɚ/,needs_human_source,emul-si-fi-er,no high-confidence automatic boundary rule
encomium,en-comi-um,3,4,vowel_sequence_suffix,/ɛnˈkɔˌmɪəm/,needs_human_source,en-comi-um,no high-confidence automatic boundary rule
energetically,en-er-get-i-cal-ly,6,5,adverb_ically_ally,/ˌɛnɚˈdʒɛtɪkli/,accepted_standard_difference,en-er-get-i-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
enthusiasm,en-thu-si-asm,4,5,other,/ɪnˈθuːziˌæzəm/,needs_human_source,en-thu-si-asm,no high-confidence automatic boundary rule
enthusiastically,en-thu-si-as-ti-cal-ly,7,6,adverb_ically_ally,/ɪnˌθuːziˈæstɪkli/,accepted_standard_difference,en-thu-si-as-ti-cal-ly,orthographic -ical-ly spelling split differs from reduced pronunciation
entrepreneurial,en-tre-pre-neur-ial,5,6,other,/ˌɑntɹəpɹəˈnɝiəl/,needs_human_source,en-tre-pre-neur-ial,no high-confidence automatic boundary rule
enviable,en-vi-able,3,4,suffix_able_ible,/ˈɛnviəbəl/,needs_human_source,en-vi-able,no high-confidence automatic boundary rule
eohippus,eo-hip-pus,3,4,other,/ˌiːoʊˈhɪpəs/,needs_human_source,eo-hip-pus,no high-confidence automatic boundary rule
eon,eon,1,2,other,/ˈiːɒn/,needs_human_source,eon,no high-confidence automatic boundary rule
eos,eos,1,2,other,/ˈiːɑs/,needs_human_source,eos,no high-confidence automatic boundary rule
epilogue,epi-logue,2,3,other,/ˈɛpəˌlɔɡ/,needs_human_source,epi-logue,no high-confidence automatic boundary rule
episodes,e-pi-so-des,4,3,other,/ˈɛpɪsˌəʊdz/,accepted_standard_difference,e-pi-so-des,orthographic spelling split has more parts than CMU pronunciation
estuary,es-tu-ary,3,4,other,/ˈɛstʃuˌɛɹi/,needs_human_source,es-tu-ary,no high-confidence automatic boundary rule
etc,etc,1,4,other,/ˌɛtˈsɛtɚə/,needs_human_source,etc,no high-confidence automatic boundary rule
ethereal,ethe-re-al,3,4,other,/ɪˈθɪɹiəl/,needs_human_source,ethe-re-al,no high-confidence automatic boundary rule
ethiopia,et-hio-pia,3,5,vowel_sequence_suffix,/ˌiːθiˈoʊpiə/,needs_human_source,et-hio-pia,no high-confidence automatic boundary rule
